,neuron_id,mean_firing_rate,cv2_isi,cluster,waveform_width,peak_asymmetry,channel,is_single_unit,session_name,group_name,experiment_name
163,1046.0,6.600322765781388,0.7162211376682378,slow_irregular,34.0,0.13076923076923078,19,1,hamilton_04,acute_cit,HAMILTON
164,1047.0,1.7170344091114444,0.4935121556903232,slow_regular,58.0,0.25217391304347825,9,1,hamilton_04,acute_cit,HAMILTON
165,1048.0,0.8992746082908889,0.8958344799464187,slow_irregular,42.0,0.16535433070866143,14,1,hamilton_04,acute_cit,HAMILTON
166,1049.0,4.598109274460945,0.43036398072302073,slow_regular,26.0,0.10483870967741936,31,1,hamilton_04,acute_cit,HAMILTON
167,1050.0,6.750657361681944,0.7840808864724094,slow_irregular,43.0,0.16104868913857678,4,1,hamilton_04,acute_cit,HAMILTON
168,1052.0,4.835712685029946,0.684666219065128,slow_irregular,87.0,0.3411764705882353,28,1,hamilton_09,acute_cit,HAMILTON
169,1053.0,12.345045332761666,0.6361911824526791,fast_firing,35.0,0.13409961685823754,27,1,hamilton_09,acute_cit,HAMILTON
170,1054.0,10.171584067550445,0.983565884666955,fast_firing,55.0,0.1971326164874552,27,1,hamilton_09,acute_cit,HAMILTON
171,1055.0,7.068954254826945,0.9946064758769333,slow_irregular,58.0,0.20422535211267606,31,1,hamilton_09,acute_cit,HAMILTON
172,1057.0,8.0871899225,0.9872290580866048,fast_firing,60.0,0.2112676056338028,31,1,hamilton_09,acute_cit,HAMILTON
173,1058.0,4.863016107662444,0.6362279021926922,slow_regular,41.0,0.15355805243445692,19,1,hamilton_09,acute_cit,HAMILTON
174,1059.0,4.124842767941055,0.302823439543628,slow_regular,68.0,0.23448275862068965,26,1,hamilton_09,acute_cit,HAMILTON
175,1060.0,1.2850362534943889,0.4681434376856358,slow_regular,59.0,0.20701754385964913,23,1,hamilton_09,acute_cit,HAMILTON
176,1061.0,3.816739096629778,0.8144488589446802,slow_irregular,75.0,0.25951557093425603,24,1,hamilton_09,acute_cit,HAMILTON
177,1062.0,0.6505236388602222,0.8185168489755263,slow_irregular,31.0,0.12062256809338522,30,1,hamilton_09,acute_cit,HAMILTON
178,1068.0,11.180033777527113,0.9526396430488215,fast_firing,48.0,0.17647058823529413,31,1,hamilton_09,acute_cit,HAMILTON
179,1613.0,2.476428373021278,0.6917911885436836,slow_regular,100.0,0.4854368932038835,2,1,hamilton_31,acute_cit,HAMILTON
180,1614.0,1.3276907912257778,0.9781700124285635,slow_irregular,31.0,0.12062256809338522,1,1,hamilton_31,acute_cit,HAMILTON
181,1615.0,1.3775767257340557,0.9662675254192801,slow_irregular,37.0,0.14285714285714285,1,1,hamilton_31,acute_cit,HAMILTON
182,1619.0,1.8032327619809445,0.975692301458164,slow_irregular,32.0,0.13114754098360656,3,1,hamilton_31,acute_cit,HAMILTON
183,1620.0,3.162074600490111,0.2171432686398032,slow_regular,54.0,0.1956521739130435,4,1,hamilton_31,acute_cit,HAMILTON
184,1621.0,2.1569686738457223,0.7498648586756439,slow_irregular,39.0,0.14942528735632185,4,1,hamilton_31,acute_cit,HAMILTON
185,1622.0,1.5320547042204442,0.8679076173175962,slow_irregular,21.0,0.08502024291497975,3,1,hamilton_31,acute_cit,HAMILTON
186,1623.0,2.6105558415247776,0.8065154944578866,slow_irregular,26.0,0.104,5,1,hamilton_31,acute_cit,HAMILTON
187,1625.0,0.967220178434,0.9607706655092836,slow_irregular,23.0,0.0931174089068826,5,1,hamilton_31,acute_cit,HAMILTON
188,1626.0,2.8558062986510553,0.6766129464058623,slow_regular,21.0,0.08433734939759036,8,1,hamilton_31,acute_cit,HAMILTON
